,Package Handler,Driver Helper,Package Delivery Driver,Warehouse Associate,Automotive Mechanic,Facilities Mechanic,Feeder Driver,UPS Freight Over-the-Road (OTR) Driver,Part-Time Operations Supervisor,Business Analyst,Sales Representative,,,
Air Force,Y,Y,Y,,,,,,,,Y,33SX,Communications & Information,"Supported joint and service communications and information requirements. Implemented and conducted communications and information unit operations. Conducted defensive operations. Managed communications-related plans. Supported force employment planning, execution and combat assessment. Conducted strategic planning. Developed and wrote Air Force, joint service, and combined communications and information plans, programs and policies. Coordinated plans to ensure coherent planning efforts."
Air Force,Y,Y,Y,,,,,,,,Y,34MX,Services,"Directed, supervised and administered appropriated and nonappropriated fund food facilities, temporary lodging facilities, and health, fitness and recreation programs and facilities. Directed child development, protocol and leisure functions. Trained and supervised search-and-recovery teams. Oversaw training and advising of unit fitness managers in fitness evaluation procedures, and conducted fitness improvement training programs and oversight of food service, lodging, fitness, mortuary and recreation. "
Air Force,Y,Y,Y,,,,,,,,Y,35BX,Band,"Provided professional musical products and services for official military, recruiting and community relations events, as well as government activities such as ceremonies, formations and parades. Provided an essential element in maintaining troop morale, retention and recruiting efforts. Performed at a level of comparable commercial musicians. "
Air Force,Y,Y,Y,,,,,,,,Y,35PX,Public Affairs,"Planned, recruited, budgeted, trained, executed and evaluated effectiveness of public affairs programs. Directed full-time staff in print, broadcast, radio, digital and community relations. Provided public affairs advice, counsel and support for commanders and senior staff people. "
Air Force,Y,Y,Y,,,,,,,,Y,36MX,Mission Support,"Planned programs for health and wellness/fitness, education, welfare and family support. Provided leadership necessary to ensure comprehensive family support programs. Included were food service (dining facilities, flight kitchens and other food service facilities); transient housing (visiting quarters and temporary lodging facilities); mortuary affairs (search and recovery, inspection of human remains, briefing next of kin, military honors, honor guard management, and personal property program); and recreation activities. Oversaw budget requirements of all mission support areas. "
Air Force,Y,Y,Y,,,,,,,,Y,36PX,Personnel,"Managed personnel activities and functions, including personnel action requests; source documents; unit, field and master personnel records; and Commander's Support Staff (CSS) tasks. Supervised and performed human resources functions. Recorded information in unit, field and PDS records. Prepared and maintained personnel records, orders and personnel action requests. Prepared and processed documentation for administration of quality control programs."
Air Force,Y,Y,Y,,,,,,,,Y,38MX,Manpower Field,"Field encompasses core competencies in personnel requirements determination, organization structure, program allocation and control, and performance management. Oversaw functions of policy planning, program formulating, directing management engineering, performance improvement and manpower activities. Immediate supervisory and technical responsibilities for developing and maintaining manpower standards and directing manpower and organization management policies. Advised leadership on manpower management and continuous improvement initiatives and activities."
Air Force,Y,Y,Y,,,,,,,,Y,41AX,Health Services Administrator,"Managed health services activities, including human resources, patient administration, fiscal management and medical facility management. Directed the hospital accreditation program and management improvement studies."
Air Force,Y,Y,Y,,,,,,,,Y,42BX,Physical Therapist,"Planned, coordinated, controlled, directed and evaluated PT activities. Determined and implemented policies and procedures pertaining to PT programs and activities. Determined requirements for PT services including personnel, equipment, supplies and continuing education. Established professional care standards, and established and appraised performance levels of subordinates."
Air Force,Y,Y,Y,,,,,,,,Y,42EX,Optometrist,"Examined eyes and vision. Examined eyes for presence of defects or visual anomalies that could be corrected, remedied or relieved by using lenses, prisms, orthopedics, contact lenses or other ophthalmic devices. Performed external and internal examination of eyes and referred pathology to medical specialties."
Air Force,Y,Y,Y,,,,,,,,Y,42FX,Podiatrist,"Provided examination, diagnosis, treatment, prevention and care of conditions and functions of the human foot. Planned, administered and recorded progress of prescribed courses of treatment of the foot and related structures. Accomplished therapeutic procedures. Consulted with other practitioners, as appropriate, for further care, diagnosis and treatment planning. Instructed patients in prescribed therapeutic procedures. Prescribed medication within limitations of podiatric practice."
Air Force,Y,Y,Y,,,,,,,,Y,42GX,Physician Assistant,"Provided medical care under the supervision of a physician. Analyzed and interpreted data, formulated problem lists, and established plans for solution of clinical problems. Counseled patients on numerous health matters. "
Air Force,Y,Y,Y,,,,,,,,Y,42NX,Audiology/Speech Pathologist,"Tested, diagnosed, treated and cared for those with speech and hearing problems.  Those who cannot hear are often unable to speak. Problem was discerned, and treatment with the health care team was begun with other specialist(s)."
Air Force,Y,Y,Y,,,,,,,,Y,42PX,Clinical Psychologist,Administered clinical psychology programs. Supervised mental health personnel and recommended policies pertaining to their training and management. Performed mental health evaluations and therapy.
Air Force,Y,Y,Y,,,,,,,,Y,42SX,Clinical Social Worker,"Managed and provided social service in mental health, medical, correctional and child advocacy settings. Developed social work staff training programs. "
Air Force,Y,Y,Y,,,,,,,,Y,42TX,Occupational Therapist Biomedical Specialists,"Formulated and implemented policies and procedures for occupational therapy programs. Performed evaluation procedures, gave therapeutic guidance and instruction, and reported patient responses and progress."
Air Force,Y,Y,Y,,,,,,,,Y,43AX,Aerospace & Operational Physiologist,"Managed all functions of USAF aerospace physiological training units or flights. Planned and directed all activities of personnel and programs required to train aircrews and others in the physiological hazards and human factor problems of flying operations. Instructed personnel such as trainee flight surgeons, flight nurses, observers and aircrew in aerospace physiology, human factors and related subjects. Instructed trainees in such subjects as physics of atmosphere, physiology of respiration, accelerative forces, physiology of blood and circulation, effects of temperature, physiological effects of altitude, self-imposed stresses, aviation human factors, circadian rhythm, and night vision."
Air Force,Y,Y,Y,,,,,,,,Y,43BX,Biomedical Scientist,"Planned, administered and managed multidisciplinary professional programs and activities in the broad area of biomedical sciences, in general simply known as medical research, basic research, applied research or translational research conducted to aid and support the body of knowledge in the field of medicine. Directed and formulated biomedical sciences programs. Developed, evaluated and interpreted policies in the biomedical sciences. Managed professional programs for technical training, research, clinical practice and operational support."
Air Force,Y,Y,Y,,,,,,,,Y,43DX,Dietitian,"Managed nutritional medicine dietary regimen recently called ""the pyramid."" Formulated and implemented policies and procedures for organization and operation of nutritional medicine. Determined medical food service requirements for personnel and equipment. Inspected and evaluated food preparation and service to patients and duty personnel for conformance with dietetic standards."
Air Force,Y,Y,Y,,,,,,,,Y,43EX,Bioenvironmental Engineer,"Completed and supervised bioenvironmental engineering programs. Performed risk assessment surveys and evaluated systems, installations, facilities and planning documents for chemical, physical and biological stress factors. "
Air Force,Y,Y,Y,,,,,,,,Y,43HX,Public Health,"Developed, planned and implemented military public health activities. Conducted preventive medicine and communicable disease control, occupational health, food safety and disaster response programs. "
Air Force,Y,Y,Y,,,,,,,,Y,43MX,Medical Entomologist,"Developed medical entomologic portion of training programs for preventive medicine activities. Instructed technicians in collection, handling, identification, prevention and control of disease-associated arthropods, other noxious or toxic animals, and poisonous plants. Advised surgeons at all levels of military capabilities and programs for prevention or control of anthropod and other animal-associated epidemics. Wrote and maintained medical entomologic regulations and forms. Developed and administered medical pest management programs focused upon insects and arthropods that impact human health."
Air Force,Y,Y,Y,,,,,,,,Y,43PX,Pharmacist,"Managed and directed all pharmacy operations, including procurement, storage, manufacture, distribution, control and evaluation of drugs. Formulated specifications for the quality and source of all drugs procured by the pharmacy. Supervised filling, labeling and dispensing of all drug orders. Inspected stock supplies of drugs on all services; maintained an approved stock of antidotes and other emergency drugs. Directed operation of the intravenous admixture program. Implemented unit dose drug distribution systems. Maintained patient drug profiles for inpatients as well as outpatients when feasible. Provided consultative services. "
Air Force,Y,Y,Y,,,,,,,,Y,43TX,Biomedical Laboratory,"Served as chief of Laboratory Services or as chief of one or more areas of Laboratory Services. Supervised the management of reference data for members of the medical provider staff. Maintained records and reports on laboratory operations necessary to provide workload accountability. Served on professional, technical, consultant and advisory committees to improve working relationships with other staff members. Taught and instructed medical and related personnel in both technical and interpretive aspects for a variety of laboratory sciences."
Air Force,Y,Y,Y,,,,,,,,Y,43VX,Veterinary Clinician,Managed independent and collaborative research using animals. Researched zoonosis to learn its incidence and prevent its spread to humans and other animals. Directed personnel engaged in care and treatment of animals.
Air Force,Y,Y,Y,,,,,,,,Y,43YX,Health Physicist,"Developed measures to control radiological hazards; monitored personnel and facilities to ensure permissible limits of health hazards were met. Coordinated all health physics activities, and conducted research and development. Conducted hospital medical physics program for radiotherapy, nuclear medicine and diagnostic services."
Air Force,Y,Y,Y,,,,,,,,Y,44AX,"Chief, Hospital/Clinic Services","Administered medical service policies. Planned and administered medical services at facilities, including maintenance of health standards, training and use of personnel. Coordinated medical service programs. Coordinated health service and patient care with military and civilian medical treatment facilities."
Air Force,Y,Y,Y,,,,,,,,Y,44DX,Pathologist,Diagnosed diseases by performing necropsies and pathological examinations of body tissues. Analyzed case histories and prepared tissues for microscopic examination. Wrote diagnostic reports.
Air Force,Y,Y,Y,,,,,,,,Y,44EX,Emergency Services Physician,"Examined, diagnosed and treated illnesses and injuries in the acute care setting. Provided immediate diagnoses and resuscitation care for life-threatening conditions. Directed the provision of such care in prehospital settings."
Air Force,Y,Y,Y,,,,,,,,Y,44FX,Family Physician,"Examined patients, formulated differential diagnostic plans and ordered required testing. Interpreted examination findings and implemented treatment plans. Determined need for consultation and liaised with other specialists. "
Air Force,Y,Y,Y,,,,,,,,Y,44GX,General Practice Physician,"Examined, diagnosed and treated diseases and injuries. Examined patients and determined x-ray examinations and clinical laboratory tests required. Interpreted test results and evaluated examination findings. "
Air Force,Y,Y,Y,,,,,,,,Y,44HX,Nuclear Medicine Physician,Used radionuclides in diagnostic imaging and the treatment of disease. Reviewed requests for nuclear imaging and therapeutic procedures. Instructed and directed nuclear medicine technologists.
Air Force,Y,Y,Y,,,,,,,,Y,44JX,Clinical Geneticist,"Evaluated, diagnosed and treated genetic diseases. Examined patients, determined need for laboratory testing and interpreted findings. Counseled patients and parents on recurrence risks and availability of prenatal diagnoses. "
Air Force,Y,Y,Y,,,,,,,,Y,44KX,Pediatrician,"Examined, diagnosed and treated diseases and injuries of infants and children extending into young adulthood. Determined patient need for x-ray examinations and clinical laboratory tests. Interpreted findings and results. "
Air Force,Y,Y,Y,,,,,,,,Y,44MX,Internist,Diagnosed and treated diseases. Prepared and reviewed case histories and clinical records. Performed and interpreted diagnostic procedures including x-ray examinations and clinical laboratory tests.
Air Force,Y,Y,Y,,,,,,,,Y,44NX,Neurologist,"Examined, diagnosed and treated neurological diseases and disorders. Determined patient needs for clinical laboratory tests and interpreted examination findings and test results."
Air Force,Y,Y,Y,,,,,,,,Y,44PX,Psychiatrist,"Examined, evaluated, diagnosed and treated psychiatric disorders. Prescribed and evaluated effectiveness of a wide range of therapeutic measures. Directed mental health clinics. "
Air Force,Y,Y,Y,,,,,,,,Y,44RX,Diagnostic Radiologist,"Managed radiological services. Made and interpreted diagnostic images. Recommended and performed special imaging procedures, including fluoroscopy, tomography, angiography, nuclear imaging, ultrasound, and computed tomography, MRI and MRA, with limitations of available resources and expertise."
Air Force,Y,Y,Y,,,,,,,,Y,44SX,Dermatologist,"Diagnosed and treated skin diseases. Examined patients, performed biopsies and determined requirements for clinical laboratory tests. Interpreted test results and evaluated examination findings. "
Air Force,Y,Y,Y,,,,,,,,Y,44TX,Radiotherapist,Managed and formulated plans and procedures for management of radiotherapy services. Key member of medical team in treatment of oncology patients. Active in the multidisciplinary management of cancer patients. Evaluated patients to determine suitability for radiation therapy.
Air Force,Y,Y,Y,,,,,,,,Y,44YX,Critical Care Medicine,"Examined, diagnosed and treated diseases and injuries by surgical and nonsurgical means. Prepared and reviewed case histories. Prescribed treatments including drugs, physical therapy, dietary regimens and surgical procedures. "
Air Force,Y,Y,Y,,,,,,,,Y,44ZX,Allergist,"Examined, diagnosed and treated allergic diseases. Prescribed specific medications, diets and immunotherapy. Managed allergy services."
Air Force,Y,Y,Y,,,,,,,,Y,45AX,Anesthesiologist,Administered general and local anesthetics. Determined anesthetics to be used considering such factors as patient conditions and operations to be performed. Coordinated administration of anesthetics with surgeons during operations.
Air Force,Y,Y,Y,,,,,,,,Y,45BX,Orthopedic Surgeon,Examined and treated diseases and musculoskeletal system injuries. Determined x-ray examinations and clinical laboratory tests required and evaluated findings. Determined procedures for preoperative and postoperative care.
Air Force,Y,Y,Y,,,,,,,,Y,45EX,Ophthalmologist,"Examined, diagnosed and treated eye diseases and injuries. Provided care in inpatient and outpatient settings. Assessed visual and refractive status, measured intraocular pressure and examined the eye and adnexa."
Air Force,Y,Y,Y,,,,,,,,Y,45GX,OB/GYN,Managed obstetrical and gynecological services. Regarded as expert in primary care of women. Formulated plans and procedures for obstetrical and gynecological services. Scheduled operation of obstetrical and gynecological services with other medical activities. Instructed interns and student residents in obstetrical and gynecological procedures. Served as consultant on obstetrics and gynecology.
Air Force,Y,Y,Y,,,,,,,,Y,45NX,Otorhinolaryngologist,"Examined, diagnosed and treated head and neck injuries and disorders. Interpreted and evaluated x-ray examination and clinical laboratory test findings. Determined procedures for preoperative and postoperative care. "
Air Force,Y,Y,Y,,,,,,,,Y,45PX,Physical Medicine Physician,"Examined, diagnosed and treated disabilities. Prescribed electrotherapy, ultrasonography, heat and cold therapy, hydrotherapy, debridement, diathermy, radiation, and orthotic and prosthetic applications. "
Air Force,Y,Y,Y,,,,,,,,Y,45SX,Surgeon,"Examined, diagnosed and treated diseases and injuries by surgical means. Determined procedures for preoperative and postoperative care, such as administering sedatives, prescribing diets and preparing operative area of patient. "
Air Force,Y,Y,Y,,,,,,,,Y,45UX,Urologist,"Examined, diagnosed and treated, by surgical means, genitourinary tract injuries and disorders. Examined patients and determined x-ray examinations and laboratory tests required. Interpreted test results and findings. "
Air Force,Y,Y,Y,,,,,,,,Y,46AX,Nurse Administrator,"Planned, initiated and directed execution of nursing activities. Evaluated qualifications and managed nursing personnel. Planned and directed assignment and training of professional and nonprofessional nursing personnel. "
Air Force,Y,Y,Y,,,,,,,,Y,46FX,Flight Nurse,Planned and prepared for aeromedical evacuation missions. Provided for in-flight management and nursing care for all types of patients. Informed appropriate personnel of changes in patients' conditions.
Air Force,Y,Y,Y,,,,,,,,Y,46GX,Nurse-Midwife,Rendered comprehensive care to women from menarche through menopause. Evaluated prenatal patient conditions and formulated care plans. Consulted primary obstetrician and co-managed comprehensive care for high-risk patients.
Air Force,Y,Y,Y,,,,,,,,Y,46MX,Nurse Anesthetist,Monitored and supervised management of patient perioperative experiences. Advised anesthesiologists and appropriate physicians of adverse reactions necessitating medical decisions. Provided postoperative recovery care.
Air Force,Y,Y,Y,,,,,,,,Y,46NX,Clinical Nurse,"Assessed health and needs of individuals and populations. Used data to determine nursing needs of individual patients and populations, including abnormal physiological findings, risk factors and nursing diagnoses. "
Air Force,Y,Y,Y,,,,,,,,Y,46PX,Mental Health Nurse,"Worked with individuals, families, groups and communities to assess mental health needs, develop diagnoses and plans, and implement and evaluate nursing care. Monitored patients undergoing detoxification from alcohol and drugs."
Air Force,Y,Y,Y,,,,,,,,Y,46SX,Operating Room Nurse,Provided professional nursing care to patients undergoing surgery. Established and utilized a checklist to monitor the physical plan of the operating room and equipment for conformity to all standards.
Air Force,Y,Y,Y,,,,,,,,Y,47BX,Orthodontist,"Examined, diagnosed and treated irregularities and malocclusion of teeth and malrelation of jaws. Evaluated findings and determined types of appliances to move and guide teeth and jaws into proper positions and relationships. "
Air Force,Y,Y,Y,,,,,,,,Y,47DX,Oral and Maxillofacial Pathologist,Examined and diagnosed pathologic conditions of oral and other proximate tissues and structures. Directed oral and maxillofacial pathology service. Formulated and implemented procedures for operation of oral and maxillofacial pathology service. Determined personnel required to accomplish diagnostic tests and examination. Planned work schedules for personnel. Coordinated oral and maxillofacial pathology service with other dental and medical services.
Air Force,Y,Y,Y,,,,,,,,Y,47EX,Endodontist,"Examined, diagnosed and treated dental pulp diseases and periapical tissues of teeth. Evaluated findings and prescribed treatment to prevent teeth loss. Performed therapeutic and surgical procedures."
Air Force,Y,Y,Y,,,,,,,,Y,47GX,Dentist,"Diagnosed and treated diseases, abnormalities, injuries and dysfunctional disorders of the oral cavity and its associated structures. Examined patients and interpreted radiographs and diagnostic tests to determine treatments. "
Air Force,Y,Y,Y,,,,,,,,Y,47HX,Periodontist,Diagnosed and treated diseases of investing hard and soft tissues of teeth. Prescribed and administered medications in treatment of diseases and infection of the oral cavity. Instructed patients on oral hygiene and preventive measures.
Air Force,Y,Y,Y,,,,,,,,Y,47KX,Pediatric Dentist,"Diagnosed and treated diseases, abnormalities, injuries and dysfunctional disorders of the oral cavity and its associated structures in children. Provided behavior management techniques. Performed surgeries and treatments on children. "
Air Force,Y,Y,Y,,,,,,,,Y,47PX,Prosthodontist,Examined and diagnosed disabilities caused by loss of teeth and supporting structures. Formulated and executed treatment plans for construction of corrective prostheses.
Air Force,Y,Y,Y,,,,,,,,Y,47SX,Oral and Maxillofacial Surgeon,"Diagnosed and treated abnormalities and injuries of oral and maxillofacial structures. Performed oral surgical operations to remove infected, impacted and malposed teeth. Prepared jaws for prosthodontic appliances. "
Air Force,Y,Y,Y,,,,,,,,Y,48AX,Aerospace Medicine Specialist,"Liaised with federal, state and local agencies in matters related to aerospace medicine, preventive medicine and occupational medicine. Established medical standards for flying personnel. "
Air Force,Y,Y,Y,,,,,,,,Y,48EX,Occupational Medicine Specialist,Determined frequency and scope of occupational medicine exams required by federal regulations. Conducted periodic health exams. Advised medical and dental staff on treatment of flying personnel.
Air Force,Y,Y,Y,,,,,,,,Y,48FX,Family Practice Specialist,"Provided continuing comprehensive health maintenance and medical care to personnel, dependents and retirees. Directed outpatient and inpatient care and service. Examined personnel to determine fitness for flying and special duties."
Air Force,Y,Y,Y,,,,,,,,Y,48GX,Aerospace Medicine Physician,"Developed policies and procedures and prepared directives governing flight, preventive and occupational medicine. Liaised with government agencies in matters related to aerospace medicine. "
Air Force,Y,Y,Y,,,,,,,,Y,48PX,Preventive Medicine Specialist,Directed health education and control measures for preventable diseases and injuries. Determined adequacy of living and working environments. Developed and implemented research projects to control and prevent diseases.
Air Force,Y,Y,Y,,,,,,,,Y,51JX,Judge Advocate,Formulated legal policies. Advised and developed plans for operation and implementation of federal statutes and executive orders. Prepared and rendered legal advice and opinions.
Air Force,Y,Y,Y,,,,,,,,Y,52RX,Chaplain,"Conducted worship services, liturgies and rites. Provided counseling, pastoral care, visitation, religious education, morale programs, spiritual renewal, lay leadership programs and humanitarian outreach opportunities."
Air Force,Y,Y,Y,,,,,,,,Y,61SX,Scientist,"Conducted and managed research. Planned research projects, determined theoretical aspects of problems and selected methods of approach. Developed new concepts, methods and techniques to solve scientific problems. "
Air Force,Y,Y,Y,,,,,,,,Y,62EX,Developmental Engineer,"Performed systems planning activities associated with design, development, manufacturing, sustainment and modification of systems to satisfy customer requirements. Identified and transitioned new technologies. "
